order_id,customer_id,status,amount,created_at,updated_at,deleted
1,7621,CREATED,4909.6,2026-06-09 21:41:11.599800,2026-06-09 21:41:11.599800,False
2,463,DELIVERED,3979.9,2026-02-20 18:24:57.498631,2026-02-20 18:24:57.498631,False
3,8580,CREATED,4970.37,2026-03-07 16:27:34.747956,2026-03-07 16:27:34.747956,False
4,5496,SHIPPED,3470.04,2026-05-17 16:47:18.149025,2026-05-17 16:47:18.149025,False
5,5862,SHIPPED,2757.98,2026-03-04 19:47:51.696162,2026-03-04 19:47:51.696162,False
6,8069,SHIPPED,2333.89,2026-01-09 14:41:29.910940,2026-01-09 14:41:29.910940,False
7,4068,PAID,2282.83,2026-03-15 18:35:00.477241,2026-03-15 18:35:00.477241,False
8,8822,SHIPPED,564.63,2026-05-25 04:04:07.218790,2026-05-25 04:04:07.218790,False
9,5740,CREATED,788.5,2026-02-23 06:14:34.480897,2026-02-23 06:14:34.480897,False
10,5941,DELIVERED,2106.69,2026-01-25 05:48:01.470876,2026-01-25 05:48:01.470876,False
11,810,DELIVERED,3079.11,2026-03-08 14:58:46.585035,2026-03-08 14:58:46.585035,False
12,6658,DELIVERED,3777.86,2026-01-01 12:15:06.724283,2026-01-01 12:15:06.724283,False
13,8811,PAID,1750.82,2026-01-09 06:26:11.730426,2026-01-09 06:26:11.730426,False
14,5868,CREATED,4708.76,2026-05-04 17:35:34.039381,2026-05-04 17:35:34.039381,False
15,879,SHIPPED,687.81,2026-03-22 15:33:26.430586,2026-03-22 15:33:26.430586,False
16,3903,CREATED,2475.29,2026-01-03 14:49:31.340024,2026-01-03 14:49:31.340024,False
17,8363,PAID,131.64,2026-04-22 09:43:14.070959,2026-04-22 09:43:14.070959,False
18,4856,PAID,1337.47,2026-01-20 13:53:21.527836,2026-01-20 13:53:21.527836,False
19,9887,DELIVERED,3110.14,2026-01-30 18:57:18.984036,2026-01-30 18:57:18.984036,False
20,1488,CANCELLED,3177.49,2026-03-28 22:16:43.140847,2026-03-28 22:16:43.140847,False
21,1681,CANCELLED,3674.95,2026-02-10 15:38:53.173624,2026-02-10 15:38:53.173624,False
22,6752,CANCELLED,4261.82,2026-05-04 20:44:03.265752,2026-05-04 20:44:03.265752,False
23,1106,PAID,808.07,2026-02-21 22:25:13.255831,2026-02-21 22:25:13.255831,False
24,6938,CREATED,421.39,2026-01-06 01:50:54.446155,2026-01-06 01:50:54.446155,False
25,963,SHIPPED,3347.29,2026-02-26 15:16:08.827677,2026-02-26 15:16:08.827677,False
26,3045,DELIVERED,774.36,2026-02-10 19:44:01.993373,2026-02-10 19:44:01.993373,False
27,4810,CANCELLED,2904.67,2026-03-22 03:27:08.747012,2026-03-22 03:27:08.747012,False
28,6773,SHIPPED,427.33,2026-05-27 23:16:47.481347,2026-05-27 23:16:47.481347,False
29,9030,CANCELLED,2592.73,2026-02-08 16:46:39.735331,2026-02-08 16:46:39.735331,False
30,166,CREATED,1340.96,2026-01-07 08:48:52.787234,2026-01-07 08:48:52.787234,False
31,3425,CREATED,4306.01,2026-01-18 07:38:55.081826,2026-01-18 07:38:55.081826,False
32,3606,SHIPPED,4079.21,2026-02-07 04:15:07.708467,2026-02-07 04:15:07.708467,False
33,4347,SHIPPED,67.38,2026-03-14 17:53:17.380634,2026-03-14 17:53:17.380634,False
34,7382,SHIPPED,2560.86,2026-04-26 11:55:27.101252,2026-04-26 11:55:27.101252,False
35,5981,PAID,4267.41,2026-03-11 15:42:53.117785,2026-03-11 15:42:53.117785,False
36,8220,DELIVERED,1380.24,2026-01-10 06:33:25.717226,2026-01-10 06:33:25.717226,False
37,3376,CREATED,2960.18,2026-06-13 02:02:26.193972,2026-06-13 02:02:26.193972,False
38,9251,DELIVERED,117.27,2026-01-12 23:28:47.554785,2026-01-12 23:28:47.554785,False
39,9441,CANCELLED,1629.49,2026-02-18 06:06:01.576746,2026-02-18 06:06:01.576746,False
40,8091,SHIPPED,2017.71,2026-01-26 13:34:36.158490,2026-01-26 13:34:36.158490,False
41,9798,PAID,3632.96,2026-01-03 11:10:28.465398,2026-01-03 11:10:28.465398,False
